iter	Passed	Remaining
0	179	179169
1	181	90804
2	186	62013
3	198	49390
4	200	39922
5	202	33545
6	204	29027
7	207	25674
8	209	23026
9	211	20970
10	214	19253
11	216	17831
12	219	16630
13	221	15581
14	223	14684
15	226	13901
16	227	13156
17	229	12495
18	230	11891
19	231	11346
20	232	10851
21	233	10398
22	235	9995
23	238	9692
24	240	9361
25	242	9080
26	244	8796
27	245	8535
28	247	8298
29	249	8063
30	251	7846
31	252	7644
32	253	7440
33	256	7275
34	257	7092
35	258	6932
36	260	6776
37	261	6622
38	262	6475
39	264	6337
40	265	6213
41	267	6107
42	269	5987
43	270	5871
44	271	5761
45	272	5657
46	273	5552
47	275	5455
48	276	5360
49	277	5280
50	279	5195
51	281	5123
52	283	5059
53	284	4982
54	285	4911
55	287	4838
56	288	4770
57	289	4701
58	290	4634
59	291	4574
60	293	4513
61	294	4453
62	296	4404
63	298	4364
64	299	4314
65	301	4262
66	302	4209
67	303	4155
68	304	4105
69	305	4060
70	306	4014
71	307	3967
72	308	3921
73	311	3897
74	313	3870
75	315	3831
76	316	3790
77	317	3750
78	318	3711
79	319	3672
80	320	3638
81	321	3602
82	322	3561
83	323	3525
84	324	3492
85	326	3466
86	328	3445
87	329	3416
88	330	3387
89	332	3358
90	333	3331
91	334	3302
92	335	3274
93	336	3245
94	337	3217
95	338	3189
96	340	3170
97	342	3153
98	344	3133
99	346	3119
100	348	3101
101	350	3088
102	351	3065
103	353	3044
104	356	3037
105	358	3023
106	359	3003
107	361	2983
108	362	2962
109	363	2941
110	364	2920
111	365	2900
112	366	2879
113	368	2860
114	371	2859
115	375	2865
116	391	2952
117	394	2945
118	396	2936
119	398	2920
120	410	2984
121	412	2965
122	413	2950
123	420	2968
124	429	3003
125	433	3004
126	435	2990
127	436	2976
128	439	2970
129	441	2955
130	443	2941
131	444	2923
132	445	2906
133	447	2890
134	449	2877
135	450	2862
136	453	2853
137	454	2839
138	456	2826
139	457	2811
140	458	2794
141	459	2776
142	460	2761
143	462	2748
144	463	2735
145	466	2728
146	469	2721
147	470	2710
148	472	2697
149	473	2684
150	474	2670
151	476	2660
152	478	2646
153	479	2635
154	481	2623
155	482	2611
156	483	2598
157	485	2585
158	486	2572
159	487	2560
160	488	2547
161	490	2534
162	492	2530
163	494	2518
164	495	2507
165	497	2500
166	500	2495
167	502	2486
168	503	2474
169	508	2481
170	509	2470
171	511	2462
172	513	2453
173	514	2441
174	516	2432
175	517	2421
176	518	2410
177	522	2410
178	523	2403
179	526	2396
180	528	2389
181	529	2382
182	531	2372
183	532	2362
184	534	2354
185	536	2347
186	538	2339
187	539	2330
188	540	2321
189	542	2311
190	543	2301
191	545	2293
